14  125	# first data record, number of data records 
		Created by Douglas E. Kinnison, 8/1/05
Reference:
R1
R2  
           	
SO3 + hv -> Products

NOTE: Cross sections supplied by Mike Mills, CU/LASP

-------------------------------------------------------------------
lambda (nm) min max	 sigma (cm^2)
-------------------------------------------------------------------
178.571	180.180	0
180.180	181.818	0
181.818	183.486	0
183.486	185.185	0
185.185	186.916	0
186.916	188.679	0
188.679	190.476	0
190.476	192.308	0
192.308	194.175	7.79E-19
194.175	196.078	7.48E-19
196.078	198.078	7.12E-19
198.078	200.000	6.89E-19
200.000	202.020	6.66E-19
202.020	204.082	6.66E-19
204.082	206.186	6.15E-19
206.186	208.333	5.57E-19
208.333	210.526	4.94E-19
210.526	212.766	3.99E-19
212.766	215.054	3.38E-19
215.054	217.391	2.81E-19
217.391	219.780	2.11E-19
219.780	222.222	1.72E-19
222.222	224.719	1.41E-19
224.719	227.273	1.06E-19
227.273	229.885	8.06E-20
229.885	232.558	6.85E-20
232.558	235.294	5.52E-20
235.294	238.095	4.54E-20
238.095	240.964	3.69E-20
240.964	243.902	3.25E-20
243.902	246.914	2.63E-20
246.914	250.000	2.12E-20
250.000	253.165	1.63E-20
253.165	256.410	1.34E-20
256.410	259.740	1.10E-20
259.740	263.158	9.14E-21
263.158	266.667	7.10E-21
266.667	270.270	5.99E-21
270.270	273.973	4.74E-21
273.973	277.778	3.81E-21
277.778	281.690	3.13E-21
281.690	285.714	2.63E-21
285.714	289.855	2.88E-21
289.855	294.118	1.98E-21
294.118	298.507	1.78E-21
298.507	303.030	1.65E-21
303.030	307.692	1.54E-21
307.692	312.500	0
312.500	317.500	0
317.500	322.500	0
322.500	327.500	0
327.500	332.500	0
332.500	337.500	0
337.500	342.500	0
342.500	347.500	0
347.500	352.500	0
352.500	357.500	0
357.500	362.500	0
362.500	367.500	0
367.500	372.500	0
372.500	377.500	0
377.500	382.500	0
382.500	387.500	0
387.500	392.500	0
392.500	397.500	0
397.500	402.500	0
402.500	407.500	0
407.500	412.500	0
412.500	417.500	0
417.500	422.500	0
422.500	427.500	0
427.500	432.500	0
432.500	437.500	0
437.500	442.500	0
442.500	447.500	0
447.500	452.500	0
452.500	457.500	0
457.500	462.500	0
462.500	467.500	0
467.500	472.500	0
472.500	477.500	0
477.500	482.500	0
482.500	487.500	0
487.500	492.500	0
492.500	497.500	0
497.500	502.500	0
502.500	507.500	0
507.500	512.500	0
512.500	517.500	0
517.500	522.500	0
522.500	527.500	0
527.500	532.500	0
532.500	537.500	0
537.500	542.500	0
542.500	547.500	0
547.500	552.500	0
552.500	557.500	0
557.500	562.500	0
562.500	567.500	0
567.500	572.500	0
572.500	577.500	0
577.500	582.500	0
582.500	587.500	0
587.500	592.500	0
592.500	597.500	0
597.500	602.500	0
602.500	607.500	0
607.500	612.500	0
612.500	617.500	0
617.500	622.500	0
622.500	627.500	0
627.500	632.500	0
632.500	637.500	0
637.500	642.500	0
642.500	647.500	0
647.500	655.222	0
655.222	665.374	0
665.374	675.324	0
675.324	685.107	0
685.107	695.096	0
695.096	704.821	0
704.821	714.798	0
714.798	724.738	0
724.738	734.713	0
734.713	744.708	0
